Product_ID,Date,Store_ID,Sales_Quantity,Price,Promotions,Seasonality_Factors,External_Factors,Demand_Trend,Customer_Segments
4277,03-01-2024,48,330,24.38,No,Festival,Competitor Pricing,Increasing,Regular
5540,29-04-2024,10,334,74.98,Yes,Holiday,Weather,Stable,Premium
5406,11-01-2024,67,429,24.83,Yes,Holiday,Economic Indicator,Decreasing,Premium
5617,04-04-2024,17,298,13.41,No,None,Economic Indicator,Stable,Regular
3480,14-12-2024,33,344,94.96,Yes,Festival,Weather,Increasing,Regular
7315,25-11-2024,9,336,59.54,Yes,Festival,None,Stable,Premium
2902,13-11-2024,58,475,35.61,No,None,None,Increasing,Budget
6892,04-01-2024,19,491,55.03,Yes,Festival,None,Stable,Regular
4497,25-10-2024,33,388,33.53,No,None,Economic Indicator,Increasing,Premium
8079,22-10-2024,26,475,83.65,No,Holiday,None,Decreasing,Budget
3900,13-05-2024,36,434,31.01,Yes,None,Economic Indicator,Increasing,Regular
6894,01-04-2024,78,29,27.17,Yes,Festival,Economic Indicator,Increasing,Budget
7767,06-07-2024,44,397,15.8,Yes,Festival,Competitor Pricing,Stable,Budget
9582,30-06-2024,67,71,79.15,No,Holiday,Weather,Decreasing,Regular
9817,10-05-2024,2,467,52.82,Yes,Holiday,Weather,Increasing,Budget
3845,27-02-2024,79,299,65.58,No,Holiday,Competitor Pricing,Stable,Regular
1206,09-03-2024,82,322,36.76,No,Holiday,Competitor Pricing,Increasing,Premium
6606,06-05-2024,87,95,92.94,Yes,Festival,Weather,Decreasing,Premium
2197,24-12-2024,59,438,84.65,No,Festival,Competitor Pricing,Stable,Budget
5705,16-08-2024,80,416,15.72,No,None,Weather,Increasing,Budget
4540,12-08-2024,78,494,86.78,Yes,Holiday,Competitor Pricing,Decreasing,Regular
4784,25-11-2024,51,498,80.55,No,None,Weather,Stable,Premium
3265,03-01-2024,12,158,31.6,Yes,None,Weather,Increasing,Budget
4085,28-12-2024,85,494,34.55,No,None,Competitor Pricing,Decreasing,Regular
6410,24-12-2024,27,381,81.72,Yes,None,Competitor Pricing,Stable,Budget
4740,28-07-2024,21,67,34.78,No,Holiday,Competitor Pricing,Stable,Budget
9964,09-12-2024,96,252,65.22,Yes,Festival,None,Increasing,Premium
2288,29-11-2024,17,140,39.79,Yes,Festival,Economic Indicator,Increasing,Regular
5324,18-05-2024,47,71,66.76,No,None,Weather,Decreasing,Budget
6592,23-08-2024,28,378,98.12,No,Holiday,Competitor Pricing,Stable,Regular
5840,26-06-2024,91,307,25.74,No,Holiday,Economic Indicator,Increasing,Budget
8498,22-01-2024,59,273,19.82,No,None,Economic Indicator,Stable,Regular
2338,31-07-2024,90,230,46.38,Yes,None,Competitor Pricing,Stable,Premium
8532,01-09-2024,72,2,93.36,No,Holiday,None,Stable,Regular
9185,01-03-2024,51,333,79.44,No,Holiday,Weather,Increasing,Regular
5691,10-05-2024,62,352,50.95,No,Festival,Competitor Pricing,Decreasing,Regular
6335,17-03-2024,70,158,58.89,Yes,None,None,Decreasing,Premium
1355,01-03-2024,59,46,51.9,Yes,Festival,Economic Indicator,Stable,Budget
9700,18-05-2024,49,228,91,No,Festival,None,Increasing,Budget
4783,26-02-2024,50,215,86.17,No,Festival,None,Decreasing,Regular
8997,31-05-2024,23,437,25.26,No,None,Competitor Pricing,Decreasing,Budget
6985,27-08-2024,78,455,7.55,Yes,Festival,Competitor Pricing,Decreasing,Regular
9816,25-02-2024,92,225,58.8,No,None,Economic Indicator,Increasing,Regular
6739,14-06-2024,5,317,12.65,No,Holiday,Competitor Pricing,Increasing,Premium
3824,27-04-2024,7,305,18.38,No,Holiday,None,Stable,Budget
5747,06-04-2024,98,234,6.04,No,Holiday,None,Decreasing,Premium
9141,02-02-2024,29,84,37.49,Yes,Festival,None,Increasing,Premium
9801,23-03-2024,21,369,11.71,No,Holiday,Economic Indicator,Decreasing,Regular
7579,06-01-2024,37,353,48,No,Festival,Competitor Pricing,Increasing,Regular
1282,17-11-2024,8,80,48.4,Yes,Festival,None,Decreasing,Premium
2214,06-05-2024,36,444,16.43,Yes,Holiday,Competitor Pricing,Increasing,Premium
1675,01-11-2024,23,203,13.52,No,None,Economic Indicator,Decreasing,Budget
6460,13-02-2024,16,29,5.09,Yes,Festival,None,Stable,Premium
7144,12-12-2024,64,102,17.46,No,Holiday,None,Decreasing,Premium
9868,29-11-2024,73,357,81.66,No,None,Competitor Pricing,Stable,Regular
9222,18-08-2024,4,477,26.71,No,None,Competitor Pricing,Decreasing,Premium
8158,15-10-2024,97,441,96.2,No,Holiday,Competitor Pricing,Decreasing,Regular
8688,06-01-2024,58,163,84.72,No,Holiday,None,Stable,Regular
2230,05-09-2024,49,233,40.71,Yes,Holiday,Competitor Pricing,Increasing,Regular
9394,29-10-2024,85,240,26.78,No,Festival,Weather,Increasing,Regular
2100,30-11-2024,14,348,25.31,Yes,Holiday,Weather,Stable,Budget
2997,07-11-2024,4,343,12.33,No,None,None,Stable,Regular
4770,03-12-2024,12,253,45.64,No,None,Competitor Pricing,Decreasing,Regular
6545,25-04-2024,21,352,66.21,No,Festival,Competitor Pricing,Stable,Regular
6112,15-11-2024,1,143,53.25,No,Holiday,None,Increasing,Budget
8589,08-12-2024,16,467,31.85,Yes,Festival,None,Increasing,Premium
8758,25-07-2024,26,119,5.43,No,None,Economic Indicator,Increasing,Premium
1760,19-11-2024,72,92,80.32,No,Holiday,Weather,Stable,Regular
1320,01-10-2024,25,187,48.7,No,Holiday,Competitor Pricing,Increasing,Premium
6547,08-05-2024,65,259,55.78,Yes,Festival,None,Stable,Budget
1105,18-08-2024,6,5,53.12,Yes,Festival,Economic Indicator,Decreasing,Premium
6040,27-10-2024,3,477,51.77,Yes,Holiday,Competitor Pricing,Increasing,Regular
5036,17-04-2024,30,336,54.11,No,Festival,None,Increasing,Budget
3434,09-01-2024,30,483,80.07,Yes,Festival,Competitor Pricing,Stable,Budget
6711,30-04-2024,30,191,87.12,No,Holiday,None,Stable,Regular
4183,26-03-2024,41,314,61.91,Yes,None,None,Decreasing,Premium
2355,10-03-2024,70,371,37.69,No,None,None,Increasing,Premium
8505,24-06-2024,97,92,50.79,No,Holiday,None,Decreasing,Premium
4416,20-07-2024,11,452,22.44,No,Festival,Competitor Pricing,Increasing,Regular
1610,17-04-2024,21,115,71.72,Yes,None,None,Increasing,Budget
3220,09-10-2024,33,395,21.04,Yes,Festival,Economic Indicator,Decreasing,Premium
3598,20-06-2024,92,2,64.99,Yes,Holiday,Economic Indicator,Decreasing,Regular
6585,03-02-2024,58,61,53.47,No,None,None,Increasing,Regular
2063,01-06-2024,26,65,9.51,Yes,Holiday,Weather,Increasing,Budget
8166,21-07-2024,39,154,99.9,No,Holiday,Weather,Stable,Regular
8869,09-11-2024,43,375,99.77,Yes,None,Competitor Pricing,Stable,Premium
3837,06-02-2024,22,314,53.24,Yes,Festival,None,Increasing,Budget
6295,15-01-2024,46,232,12.37,Yes,Holiday,None,Decreasing,Regular
6975,15-01-2024,72,399,99.71,No,Festival,None,Decreasing,Regular
6352,23-11-2024,10,47,47.51,No,Holiday,Economic Indicator,Decreasing,Budget
6054,27-06-2024,49,103,47.81,Yes,Festival,Weather,Increasing,Budget
6039,28-04-2024,77,433,60.32,No,None,Competitor Pricing,Stable,Regular
5877,01-02-2024,49,59,28.75,Yes,None,Economic Indicator,Increasing,Regular
2226,01-05-2024,14,314,61.84,Yes,Holiday,Economic Indicator,Stable,Regular
3547,12-04-2024,30,24,11.63,No,Festival,Weather,Stable,Regular
5706,27-01-2024,18,284,17.78,Yes,Holiday,Economic Indicator,Stable,Regular
9139,07-12-2024,55,123,74.17,No,Holiday,Competitor Pricing,Stable,Premium
6000,29-05-2024,84,17,45.58,No,Holiday,Economic Indicator,Stable,Budget
3922,19-01-2024,78,116,19.76,Yes,Festival,Competitor Pricing,Increasing,Regular
2497,18-12-2024,93,260,28.44,No,None,Weather,Stable,Regular
3166,03-11-2024,43,169,83.87,Yes,Holiday,None,Increasing,Budget
4980,23-04-2024,50,190,27.8,Yes,Festival,Competitor Pricing,Increasing,Regular
1349,02-07-2024,36,93,47.31,Yes,None,None,Increasing,Budget
5085,11-06-2024,92,456,14.66,Yes,Holiday,Weather,Decreasing,Premium
4467,04-08-2024,14,389,39.67,Yes,Holiday,Competitor Pricing,Decreasing,Regular
8369,06-11-2024,90,364,53.85,No,Festival,Weather,Decreasing,Regular
3534,28-12-2024,72,399,66.83,No,None,Competitor Pricing,Decreasing,Budget
8035,08-10-2024,24,230,5.4,No,Holiday,Weather,Decreasing,Budget
3698,05-02-2024,31,454,75.56,Yes,Festival,None,Increasing,Premium
9641,13-10-2024,11,35,61.07,Yes,Festival,Weather,Increasing,Premium
4986,20-11-2024,22,255,69.69,No,Holiday,Weather,Stable,Premium
6598,08-03-2024,97,388,78.17,Yes,None,Economic Indicator,Stable,Regular
2001,18-02-2024,92,391,14.12,No,Holiday,Weather,Decreasing,Regular
5810,05-03-2024,78,321,11.33,Yes,None,Economic Indicator,Increasing,Regular
6898,09-07-2024,5,177,22.81,Yes,None,Economic Indicator,Stable,Premium
1395,11-12-2024,9,342,23.41,No,Holiday,Competitor Pricing,Decreasing,Regular
3386,29-06-2024,39,38,5.3,Yes,None,None,Increasing,Budget
1912,09-07-2024,97,147,89.24,Yes,Festival,None,Decreasing,Premium
4630,11-06-2024,96,142,83.42,Yes,None,Weather,Stable,Budget
7059,20-08-2024,5,481,50.91,Yes,Holiday,Economic Indicator,Stable,Budget
4834,25-05-2024,40,333,79.6,Yes,Festival,None,Decreasing,Regular
7099,05-12-2024,19,444,91.55,No,None,None,Decreasing,Budget
1879,27-08-2024,19,135,34.24,No,None,Competitor Pricing,Decreasing,Budget
3015,07-03-2024,90,174,48.86,No,Holiday,Economic Indicator,Stable,Regular
7383,24-03-2024,2,382,6.57,No,None,Economic Indicator,Increasing,Regular
3462,24-01-2024,27,93,72.78,Yes,None,Competitor Pricing,Stable,Budget
8413,24-11-2024,17,165,23.76,No,Holiday,Weather,Decreasing,Premium
2296,16-04-2024,14,87,53.68,Yes,Holiday,Economic Indicator,Decreasing,Regular
6947,27-12-2024,78,480,21.1,No,Festival,Economic Indicator,Increasing,Premium
1835,19-03-2024,78,346,7.77,Yes,Holiday,Economic Indicator,Increasing,Regular
5021,12-07-2024,16,375,44.82,Yes,Festival,Economic Indicator,Increasing,Budget
7323,03-06-2024,67,348,24.62,No,Holiday,None,Decreasing,Premium
4762,02-07-2024,81,47,99.58,No,Holiday,Weather,Decreasing,Budget
1155,18-10-2024,3,12,57.93,Yes,None,Competitor Pricing,Decreasing,Budget
6215,02-07-2024,10,480,68.93,Yes,Festival,None,Increasing,Regular
4711,24-11-2024,27,164,78.3,No,None,Competitor Pricing,Increasing,Regular
1087,24-07-2024,50,360,21,Yes,Festival,None,Increasing,Regular
7520,22-01-2024,77,357,87.55,No,Festival,Economic Indicator,Decreasing,Regular
2004,24-01-2024,72,308,56.15,No,Holiday,None,Stable,Budget
9970,09-12-2024,19,370,75.01,Yes,Festival,Weather,Stable,Premium
2964,14-07-2024,82,24,78.71,Yes,Holiday,Economic Indicator,Stable,Premium
2222,08-03-2024,88,421,87.93,Yes,Festival,Competitor Pricing,Stable,Regular
1657,15-09-2024,19,283,7.67,Yes,Holiday,Economic Indicator,Stable,Premium
8799,10-03-2024,81,255,67.83,Yes,Holiday,Weather,Decreasing,Regular
1411,08-05-2024,73,30,31.16,Yes,Festival,Competitor Pricing,Decreasing,Regular
1486,29-03-2024,69,418,6.34,No,Holiday,Economic Indicator,Decreasing,Premium
6139,21-09-2024,13,319,97.02,No,Festival,Weather,Increasing,Budget
